sample,oat,day,fastq_1,fastq_2
oat_26_d2,oat_26,day2,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_18_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_18_R2.fastq.gz
oat_4_d3,oat_4,day3,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_19_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_19_R2.fastq.gz
oat_9_d3,oat_9,day3,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_20_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_20_R2.fastq.gz
oat_10_d3,oat_10,day3,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_21_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_21_R2.fastq.gz
oat_16_d3,oat_16,day3,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_22_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_22_R2.fastq.gz
oat_17_d3,oat_17,day3,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_23_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_23_R2.fastq.gz
oat_18_d3,oat_18,day3,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_24_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_24_R2.fastq.gz
oat_19_d3,oat_19,day3,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_25_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_25_R2.fastq.gz
oat_22_d3,oat_22,day3,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_26_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_26_R2.fastq.gz
oat_23_d3,oat_23,day3,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_27_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_27_R2.fastq.gz
oat_26_d3,oat_26,day3,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_28_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_28_R2.fastq.gz
oat_9_d6,oat_9,day6,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_29_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_29_R2.fastq.gz
oat_16_d6,oat_16,day6,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_30_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_30_R2.fastq.gz
oat_17_d6,oat_17,day6,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_31_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_31_R2.fastq.gz
oat_18_d6,oat_18,day6,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_32_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_32_R2.fastq.gz
oat_19_d6,oat_19,day6,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_33_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_33_R2.fastq.gz
oat_22_d6,oat_22,day6,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_34_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_34_R2.fastq.gz
oat_23_d6,oat_23,day6,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_35_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_35_R2.fastq.gz
oat_26_d6,oat_26,day6,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_36_R1.fastq.gz,https://zymo-microbiomics-service.s3.amazonaws.com/epiquest/epiquest_zr28333/QDUOEJJPVSWMCUPV/rawdata/260109/zr28333_36_R2.fastq.gz
